clusters	lat	lon
1	41	140
1	42	139
1	42	140
1	42	141
1	42	142
0	42	143
0	42	144
1	43	140
1	43	141
0	43	142
0	43	143
0	43	144
0	43	145
0	44	141
0	44	142
0	44	143
0	44	144
0	44	145
0	45	141
0	45	142
11	30	130
11	30	131
11	31	129
11	31	130
11	31	131
10	32	129
11	32	130
11	32	131
9	32	132
10	33	129
10	33	130
10	33	131
9	33	132
9	33	133
9	33	134
8	33	135
8	33	136
10	34	129
10	34	130
7	34	131
7	34	132
7	34	133
9	34	134
8	34	135
8	34	136
6	34	137
6	34	138
6	34	139
7	35	132
7	35	133
8	35	134
8	35	135
5	35	136
5	35	137
6	35	138
6	35	139
4	35	140
5	36	136
5	36	137
3	36	138
4	36	139
4	36	140
5	37	136
5	37	137
3	37	138
3	37	139
4	37	140
4	37	141
3	38	138
3	38	139
2	38	140
2	38	141
2	39	139
2	39	140
2	39	141
2	40	139
2	40	140
2	40	141
2	41	141
